scenario_id,existence,humanity,population_scale,population,observer,observer_present,galaxy_scale,galaxies,experimenter_present
53,existence,present,three,3,present,1,many,10,0
54,existence,present,three,3,present,1,million,1000000,0
55,existence,present,three,3,present,1,infinity,,0
56,existence,present,three,3,experimenter_present,1,none,0,1
57,existence,present,three,3,experimenter_present,1,one,1,1
58,existence,present,three,3,experimenter_present,1,many,10,1
59,existence,present,three,3,experimenter_present,1,million,1000000,1
60,existence,present,three,3,experimenter_present,1,infinity,,1
61,existence,present,ten,10,absent,0,none,0,0
62,existence,present,ten,10,absent,0,one,1,0
63,existence,present,ten,10,absent,0,many,10,0
64,existence,present,ten,10,absent,0,million,1000000,0
65,existence,present,ten,10,absent,0,infinity,,0
66,existence,present,ten,10,present,1,none,0,0
67,existence,present,ten,10,present,1,one,1,0
68,existence,present,ten,10,present,1,many,10,0
69,existence,present,ten,10,present,1,million,1000000,0
70,existence,present,ten,10,present,1,infinity,,0
71,existence,present,ten,10,experimenter_present,1,none,0,1
72,existence,present,ten,10,experimenter_present,1,one,1,1
73,existence,present,ten,10,experimenter_present,1,many,10,1
74,existence,present,ten,10,experimenter_present,1,million,1000000,1
75,existence,present,ten,10,experimenter_present,1,infinity,,1
76,existence,present,hundred,100,absent,0,none,0,0
77,existence,present,hundred,100,absent,0,one,1,0
78,existence,present,hundred,100,absent,0,many,10,0
79,existence,present,hundred,100,absent,0,million,1000000,0
80,existence,present,hundred,100,absent,0,infinity,,0
81,existence,present,hundred,100,present,1,none,0,0
82,existence,present,hundred,100,present,1,one,1,0
83,existence,present,hundred,100,present,1,many,10,0
84,existence,present,hundred,100,present,1,million,1000000,0
85,existence,present,hundred,100,present,1,infinity,,0
86,existence,present,hundred,100,experimenter_present,1,none,0,1
87,existence,present,hundred,100,experimenter_present,1,one,1,1
88,existence,present,hundred,100,experimenter_present,1,many,10,1
89,existence,present,hundred,100,experimenter_present,1,million,1000000,1
90,existence,present,hundred,100,experimenter_present,1,infinity,,1
91,existence,present,thousand,1000,absent,0,none,0,0
92,existence,present,thousand,1000,absent,0,one,1,0
93,existence,present,thousand,1000,absent,0,many,10,0
94,existence,present,thousand,1000,absent,0,million,1000000,0
95,existence,present,thousand,1000,absent,0,infinity,,0
96,existence,present,thousand,1000,present,1,none,0,0
97,existence,present,thousand,1000,present,1,one,1,0
98,existence,present,thousand,1000,present,1,many,10,0
99,existence,present,thousand,1000,present,1,million,1000000,0
100,existence,present,thousand,1000,present,1,infinity,,0
101,existence,present,thousand,1000,experimenter_present,1,none,0,1
102,existence,present,thousand,1000,experimenter_present,1,one,1,1
103,existence,present,thousand,1000,experimenter_present,1,many,10,1
104,existence,present,thousand,1000,experimenter_present,1,million,1000000,1
105,existence,present,thousand,1000,experimenter_present,1,infinity,,1
106,existence,present,million,1000000,absent,0,none,0,0
107,existence,present,million,1000000,absent,0,one,1,0
108,existence,present,million,1000000,absent,0,many,10,0
109,existence,present,million,1000000,absent,0,million,1000000,0
110,existence,present,million,1000000,absent,0,infinity,,0
111,existence,present,million,1000000,present,1,none,0,0
112,existence,present,million,1000000,present,1,one,1,0
113,existence,present,million,1000000,present,1,many,10,0
114,existence,present,million,1000000,present,1,million,1000000,0
115,existence,present,million,1000000,present,1,infinity,,0
116,existence,present,million,1000000,experimenter_present,1,none,0,1
117,existence,present,million,1000000,experimenter_present,1,one,1,1
118,existence,present,million,1000000,experimenter_present,1,many,10,1
119,existence,present,million,1000000,experimenter_present,1,million,1000000,1
120,existence,present,million,1000000,experimenter_present,1,infinity,,1
121,existence,present,billion,1000000000,absent,0,none,0,0
122,existence,present,billion,1000000000,absent,0,one,1,0
123,existence,present,billion,1000000000,absent,0,many,10,0
124,existence,present,billion,1000000000,absent,0,million,1000000,0
125,existence,present,billion,1000000000,absent,0,infinity,,0
126,existence,present,billion,1000000000,present,1,none,0,0
127,existence,present,billion,1000000000,present,1,one,1,0
128,existence,present,billion,1000000000,present,1,many,10,0
129,existence,present,billion,1000000000,present,1,million,1000000,0
130,existence,present,billion,1000000000,present,1,infinity,,0
131,existence,present,billion,1000000000,experimenter_present,1,none,0,1
132,existence,present,billion,1000000000,experimenter_present,1,one,1,1
133,existence,present,billion,1000000000,experimenter_present,1,many,10,1
134,existence,present,billion,1000000000,experimenter_present,1,million,1000000,1
135,existence,present,billion,1000000000,experimenter_present,1,infinity,,1
136,existence,present,infinity,,absent,0,none,0,0
137,existence,present,infinity,,absent,0,one,1,0
138,existence,present,infinity,,absent,0,many,10,0
139,existence,present,infinity,,absent,0,million,1000000,0
140,existence,present,infinity,,absent,0,infinity,,0
141,existence,present,infinity,,present,1,none,0,0
142,existence,present,infinity,,present,1,one,1,0
143,existence,present,infinity,,present,1,many,10,0
144,existence,present,infinity,,present,1,million,1000000,0
145,existence,present,infinity,,present,1,infinity,,0
146,existence,present,infinity,,experimenter_present,1,none,0,1
147,existence,present,infinity,,experimenter_present,1,one,1,1
148,existence,present,infinity,,experimenter_present,1,many,10,1
149,existence,present,infinity,,experimenter_present,1,million,1000000,1
150,existence,present,infinity,,experimenter_present,1,infinity,,1
